data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6338734,643,RUS3483,3483,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",6,,,0,60,Europe,Russia,"Republic of Kabardino-Balkaria","Nalchik Municipality",,Nalchik,43.4981,43.6189,1,KPRF,Other,"On November 7, about 50 people took part in an authorized protest organized by the KPRF in Nalchik on the 102nd anniversary of the October Revolution, criticizing the policies of the government and calling for Vladimir Putin's resignation. [size=about 50]",0,1573586486,RUS
6336687,478,MAA626,626,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Mauritania)","Students (Mauritania)",6,,,0,60,"Western Africa",Mauritania,Nouakchott,Nouakchott,Nouakchott,Nouakchott,18.1194,-16.0406,1,"Sahara Media",Regional,"On 07 November, 2019, students protested against the grading system of some universities in Nouakchott, demanding improvement of university services [size=no report].",0,1573519207,MRT
6337455,356,IND65416,65416,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"Southern Asia",India,Telangana,Adilabad,Adilabad,Adilabad,19.672,78.5359,1,"United News of India",National,"On November 7, TSRTC employees held a protest in Adilabad city (Adilabad, Telangana), pressing their demand to merge the loss-making corporation with the government. [size=no report]",0,1573566095,IND
6334896,422,LBN2240,2240,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,North,Miniyeh-Daniyeh,,Jayroun,34.4325,36.0992,1,"An Nahar",Regional,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students blocked the entrance to the Public School in Jayroun and prevented anyone from reaching it. [size=no report]",0,1573506506,LBN
6337456,356,IND65424,65424,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"Southern Asia",India,Telangana,Nalgonda,Nalgonda,Nalgonda,17.0543,79.267,1,"United News of India",National,"On November 7, TSRTC employees held a protest in Nalgonda city (Nalgonda, Telangana), pressing their demand to merge the loss-making corporation with the government. [size=no report]",0,1573566095,IND
6362545,524,NEP7070,7070,"07 November 2019",2019,2,Protests,"Peaceful protest","Protesters (Nepal)","ANNFSU: All Nepal National Free Students' Union, Students (Nepal)",6,,,0,60,"Southern Asia",Nepal,West,Lumbini,Nawalpur,Kawasoti,27.6282,84.1056,1,"Chitwan Post",National,"Assumed on November 7, students associated with All Nepal National Free Students' Union demonstrated by burning recently published Indian political map in Kawasoti city (Nawalpur district, Lumbini). The demonstrators denounced the Indian map, which shows Nepali territories inside India. [size=no report]",0,1574183712,NPL
6336435,710,SAF11901,11901,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (International)","Refugees/IDPs (International)",6,,,0,60,"Southern Africa","South Africa","Western Cape","City of Cape Town","City of Cape Town","Cape Town",-33.9253,18.4239,1,"Cape Times",Subnational,"07 November 2019. Foreign nationals have been demonstrating in Cape Town since the 8th of October, asking for protection from the xenophobic attacks occurring in South Africa and assistance to leave South Africa. Police were on the scene. [size=700].",0,1573519206,ZAF
6337206,356,IND65624,65624,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","COCOMI: Coordination Committee on Manipur Integrity",6,,,0,60,"Southern Asia",India,Manipur,Bishnupur,Bishnupur,Phubala,24.5358,93.7564,1,"Sangai Express",Subnational,"On 7 November, Coordination Committee on Manipur Integrity (COCOMI) organized an alert protest in Phubala (Bishnupur, Manipur) demanding amicable solution to the Naga issue that would not infringe upon State's integrity. [size=no report]",0,1573566094,IND
6334904,422,LBN2239,2239,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,North,Miniyeh-Daniyeh,,Sfireh,34.4003,36.0481,1,"An Nahar",Regional,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students blocked the entrances to the Technical Institute in Sfireh and briefly blocked a road. [size=no report]",0,1573506507,LBN
6337464,356,IND65420,65420,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"Southern Asia",India,Telangana,Mahabubabad,Mahabubabad,Mahabubabad,17.6167,80.0167,1,"United News of India",National,"On November 7, TSRTC employees held a protest in Mahabubabad town (Mahabubabad, Telangana), pressing their demand to merge the loss-making corporation with the government. [size=no report]",0,1573566095,IND
6336953,586,PAK54359,54359,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Pakistan)","Teachers (Pakistan)",6,,,0,60,"Southern Asia",Pakistan,Sindh,Sanghar,"Tando Adam","Tando Adam",25.7673,68.6504,1,"Daily Regional Times (Pakistan)",Subnational,"On November 7, professors and lecturers protested in Tando Adam town (Sanghar, Sindh) against the police over their violence on professors and lecturers staging a sit-in in Karachi. [size=no report]",0,1573566094,PAK
